Season,Player,Age,Team,Lg,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,id_joueur,PER,TS%,WS,WS/48,BPM,VORP,Absence_Reason,Season_start,Team_code,annee_signature,Type de contrat,Durée (ans),Montant total ($M),Salaire moyen ($M/an),Age_signature,Apres_Contrat,PIS
2012-13,Anthony Davis,19,NOP Pelicans,NBA,PF,64.0,28.8,5.5,10.6,0.516,0.0,0.1,0.0,5.5,10.5,0.521,2.6,3.5,0.751,2.6,5.6,8.2,1.0,1.2,1.8,1.4,2.5,13.5,ANTHONY DAVIS_NOH_2012-13,21.7,0.559,6.1,0.159,2.5,2.1,,2012,NOP,2020,Max,5,190.0,38.0,27,0,-0.2
2013-14,Anthony Davis,20,NOP Pelicans,NBA,PF,67.0,35.2,7.8,15.0,0.519,0.0,0.1,0.222,7.8,14.9,0.522,5.2,6.6,0.791,3.1,7.0,10.0,1.6,1.3,2.8,1.6,3.0,20.8,ANTHONY DAVIS_NOP_2013-14,26.5,0.582,10.4,0.212,4.8,4.0,,2013,NOP,2020,Max,5,190.0,38.0,27,0,0.57
2014-15,Anthony Davis,21,NOP Pelicans,NBA,PF,68.0,36.1,9.4,17.6,0.535,0.0,0.2,0.083,9.4,17.5,0.54,5.5,6.8,0.805,2.5,7.7,10.2,2.2,1.5,2.9,1.4,2.1,24.4,ANTHONY DAVIS_NOP_2014-15,30.8,0.591,14.0,0.274,8.9,6.7,,2014,NOP,2020,Max,5,190.0,38.0,27,0,1.47
2015-16,Anthony Davis,22,NOP Pelicans,NBA,C,61.0,35.5,9.2,18.6,0.493,0.6,1.8,0.324,8.6,16.9,0.511,5.3,7.0,0.758,2.1,8.1,10.3,1.9,1.3,2.0,2.0,2.4,24.3,ANTHONY DAVIS_NOP_2015-16,25.0,0.559,7.2,0.16,3.9,3.2,,2015,NOP,2020,Max,5,190.0,38.0,27,0,0.07
2016-17,Anthony Davis,23,NOP Pelicans,NBA,C,75.0,36.1,10.3,20.3,0.505,0.5,1.8,0.299,9.7,18.6,0.524,6.9,8.6,0.802,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28.0,ANTHONY DAVIS_NOP_2016-17,27.5,0.58,11.0,0.195,5.9,5.4,,2016,NOP,2020,Max,5,190.0,38.0,27,0,0.54
2017-18,Anthony Davis,24,NOP Pelicans,NBA,PF,75.0,36.4,10.4,19.5,0.534,0.7,2.2,0.34,9.7,17.3,0.558,6.6,8.0,0.828,2.5,8.6,11.1,2.3,1.5,2.6,2.2,2.1,28.1,ANTHONY DAVIS_NOP_2017-18,28.9,0.612,13.7,0.241,6.7,5.9,,2017,NOP,2020,Max,5,190.0,38.0,27,0,1.18
2018-19,Anthony Davis,25,NOP Pelicans,NBA,C,56.0,33.0,9.5,18.3,0.517,0.9,2.6,0.331,8.6,15.7,0.547,6.1,7.7,0.794,3.1,8.9,12.0,3.9,1.6,2.4,2.0,2.4,25.9,ANTHONY DAVIS_NOP_2018-19,30.3,0.597,9.5,0.247,9.4,5.3,,2018,NOP,2020,Max,5,190.0,38.0,27,0,1.26
2019-20,Anthony Davis,26,LAL Lakers,NBA,PF,62.0,34.4,8.9,17.7,0.503,1.2,3.5,0.33,7.7,14.2,0.546,7.2,8.5,0.846,2.3,7.0,9.3,3.2,1.5,2.3,2.5,2.5,26.1,ANTHONY DAVIS_LAL_2019-20,27.4,0.61,11.1,0.25,8.0,5.4,,2019,LAL,2020,Max,5,190.0,38.0,27,0,1.15
2020-21,Anthony Davis,27,LAL Lakers,NBA,PF,36.0,32.3,8.4,17.0,0.491,0.7,2.8,0.26,7.6,14.3,0.536,4.4,5.9,0.738,1.7,6.2,7.9,3.1,1.3,1.6,2.1,1.7,21.8,ANTHONY DAVIS_LAL_2020-21,22.1,0.556,3.7,0.152,4.8,2.0,,2020,LAL,2020,Max,5,190.0,38.0,27,1,-0.35
2021-22,Anthony Davis,28,LAL Lakers,NBA,C,40.0,35.1,9.3,17.4,0.532,0.3,1.8,0.186,8.9,15.6,0.571,4.4,6.1,0.713,2.7,7.2,9.9,3.1,1.2,2.3,2.1,2.4,23.2,ANTHONY DAVIS_LAL_2021-22,23.9,0.578,4.5,0.155,3.8,2.0,,2021,LAL,2020,Max,5,190.0,38.0,27,1,-0.09
2022-23,Anthony Davis,29,LAL Lakers,NBA,C,56.0,34.0,9.7,17.2,0.563,0.3,1.3,0.257,9.3,15.9,0.589,6.2,7.9,0.784,3.5,9.1,12.5,2.6,1.1,2.0,2.2,2.6,25.9,ANTHONY DAVIS_LAL_2022-23,27.8,0.627,9.0,0.226,6.3,4.0,,2022,LAL,2020,Max,5,190.0,38.0,27,1,0.83
2023-24,Anthony Davis,30,LAL Lakers,NBA,C,76.0,35.5,9.4,16.9,0.556,0.4,1.4,0.271,9.0,15.5,0.582,5.5,6.8,0.816,3.1,9.5,12.6,3.5,1.2,2.3,2.1,2.3,24.7,ANTHONY DAVIS_LAL_2023-24,25.8,0.621,11.8,0.21,5.1,4.9,,2023,LAL,2020,Max,5,190.0,38.0,27,1,0.77
2024-25,Anthony Davis,31,LAL Lakers/DAL Mavericks,NBA,PF,51.0,33.5,9.2,17.8,0.516,0.7,2.4,0.282,8.5,15.4,0.553,5.6,7.2,0.775,2.6,8.9,11.6,3.5,1.2,2.2,2.2,1.9,24.7,ANTHONY DAVIS_2TM_2024-25,26.3,0.588,6.7,0.188,5.4,3.2,,2024,2TM,2020,Max,5,190.0,38.0,27,1,0.76
2012-13,Bradley Beal,19,WAS Wizards,NBA,SG,56.0,31.2,5.0,12.3,0.41,1.6,4.2,0.386,3.4,8.1,0.424,2.2,2.8,0.786,0.8,3.0,3.8,2.4,0.9,0.5,1.6,2.0,13.9,BRADLEY BEAL_WAS_2012-13,13.6,0.515,3.0,0.082,0.2,1.0,,2012,WAS,2022,Supermax,5,251.0,50.2,29,0,-1.43
2013-14,Bradley Beal,20,WAS Wizards,NBA,SG,73.0,34.7,6.6,15.7,0.419,1.9,4.7,0.402,4.7,11.0,0.426,2.0,2.6,0.788,0.7,3.0,3.7,3.3,1.0,0.2,1.8,2.1,17.1,BRADLEY BEAL_WAS_2013-14,14.3,0.507,4.0,0.076,-0.4,1.0,,2013,WAS,2022,Supermax,5,251.0,50.2,29,0,-1.43
2014-15,Bradley Beal,21,WAS Wizards,NBA,SG,63.0,33.4,5.8,13.5,0.427,1.7,4.1,0.409,4.1,9.4,0.434,2.1,2.6,0.783,0.9,2.9,3.8,3.1,1.2,0.3,2.0,2.2,15.3,BRADLEY BEAL_WAS_2014-15,14.0,0.521,3.7,0.085,0.1,1.1,,2014,WAS,2022,Supermax,5,251.0,50.2,29,0,-1.53
2015-16,Bradley Beal,22,WAS Wizards,NBA,SG,55.0,31.1,6.5,14.5,0.449,1.9,4.9,0.387,4.6,9.6,0.481,2.5,3.2,0.767,0.7,2.7,3.4,2.9,1.0,0.2,2.0,2.1,17.4,BRADLEY BEAL_WAS_2015-16,15.5,0.547,2.7,0.076,0.3,1.0,,2015,WAS,2022,Supermax,5,251.0,50.2,29,0,-1.5
2016-17,Bradley Beal,23,WAS Wizards,NBA,SG,77.0,34.9,8.3,17.2,0.482,2.9,7.2,0.404,5.4,10.0,0.538,3.7,4.4,0.825,0.7,2.4,3.1,3.5,1.1,0.3,2.0,2.2,23.1,BRADLEY BEAL_WAS_2016-17,20.1,0.604,8.5,0.152,3.3,3.5,,2016,WAS,2022,Supermax,5,251.0,50.2,29,0,-0.69
2017-18,Bradley Beal,24,WAS Wizards,NBA,SG,82.0,36.3,8.3,18.1,0.46,2.4,6.5,0.375,5.9,11.6,0.507,3.6,4.5,0.791,0.7,3.7,4.4,4.5,1.2,0.4,2.6,2.0,22.6,BRADLEY BEAL_WAS_2017-18,18.4,0.564,6.9,0.111,2.2,3.1,,2017,WAS,2022,Supermax,5,251.0,50.2,29,0,-0.83
2018-19,Bradley Beal,25,WAS Wizards,NBA,SG,82.0,36.9,9.3,19.6,0.475,2.5,7.3,0.351,6.8,12.4,0.548,4.4,5.5,0.808,1.1,3.9,5.0,5.5,1.5,0.7,2.7,2.8,25.6,BRADLEY BEAL_WAS_2018-19,20.8,0.581,7.6,0.12,2.9,3.7,,2018,WAS,2022,Supermax,5,251.0,50.2,29,0,-0.49
2019-20,Bradley Beal,26,WAS Wizards,NBA,SG,57.0,36.0,10.4,22.9,0.455,3.0,8.4,0.353,7.4,14.4,0.515,6.8,8.0,0.842,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5,BRADLEY BEAL_WAS_2019-20,23.2,0.579,5.1,0.118,2.9,2.5,,2019,WAS,2022,Supermax,5,251.0,50.2,29,0,-0.38
2020-21,Bradley Beal,27,WAS Wizards,NBA,SG,60.0,35.8,11.2,23.0,0.485,2.2,6.2,0.349,9.0,16.8,0.535,6.8,7.7,0.889,1.2,3.5,4.7,4.4,1.2,0.4,3.1,2.3,31.3,BRADLEY BEAL_WAS_2020-21,22.7,0.593,5.9,0.132,3.4,2.9,,2020,WAS,2022,Supermax,5,251.0,50.2,29,0,-0.19
2021-22,Bradley Beal,28,WAS Wizards,NBA,SG,40.0,36.0,8.7,19.3,0.451,1.6,5.3,0.3,7.1,14.0,0.508,4.2,5.1,0.833,1.0,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2,BRADLEY BEAL_WAS_2021-22,17.5,0.539,1.4,0.046,0.8,1.0,,2021,WAS,2022,Supermax,5,251.0,50.2,29,0,-1.22
2022-23,Bradley Beal,29,WAS Wizards,NBA,SG,50.0,33.5,8.9,17.6,0.506,1.6,4.4,0.365,7.3,13.2,0.552,3.8,4.6,0.842,0.8,3.1,3.9,5.4,0.9,0.7,2.9,2.1,23.2,BRADLEY BEAL_WAS_2022-23,19.7,0.593,3.4,0.099,1.8,1.6,,2022,WAS,2022,Supermax,5,251.0,50.2,29,1,-0.72
