Player,Team,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed,Player-additional,Team_code,experience_year,contract_type
Stephen Curry,GSW Warriors,55761216,59606817,62587158,0,0,0,177955191,curryst01,GSW,15.0,Supermax
Joel Embiid,PHI 76ers,51415938,55224526,57985752,62624612,67263472,0,227250828,embiijo01,PHI,8.0,Supermax
Nikola Jokic,DEN Nuggets,51415938,55224526,59033114,62841702,0,0,165673578,jokicni01,DEN,9.0,Supermax
Kevin Durant,PHX Suns,51179021,54708609,0,0,0,0,105887630,duranke01,PHX,16.0,Supermax
Bradley Beal,PHX Suns,50203930,53666270,57128610,0,0,0,103870200,bealbr01,PHX,12.0,Supermax
Jaylen Brown,BOS Celtics,49205800,53142264,57078728,61015192,64951656,0,285393640,brownja02,BOS,8.0,Supermax
Devin Booker,PHX Suns,49205800,53142264,57078728,61015192,0,0,220441984,bookede01,PHX,9.0,Supermax
Karl Anthony Towns,NYC Knicks,49205800,53142264,57078728,61015192,0,0,159426792,townska01,NYC,9.0,Supermax
Paul George,PHI 76ers,49205800,51666090,54126380,56586670,0,0,154998270,georgpa01,PHI,14.0,Supermax
Kawhi Leonard,LAC Clippers,49205800,50000000,50300000,0,0,0,149505800,leonaka01,LAC,12.0,Supermax
Jimmy Butler,GSW Warriors,48798677,54126450,56832773,0,0,0,159757900,butleji01,GSW,14.0,Supermax
Giannis Antetokounmpo,MIL Bucks,48787676,54126450,58456566,62786682,0,0,161370692,antetgi01,MIL,11.0,Supermax
Damian Lillard,MIL Bucks,48787676,54126450,58456566,0,0,0,102914126,lillada01,MIL,12.0,Supermax
Lebron James,LAL Lakers,48728845,52627153,0,0,0,0,48728845,jamesle01,LAL,21.0,Supermax
Zach Lavine,SAC Kings,44531940,47499660,48967380,0,0,0,92031600,lavinza01,SAC,10.0,Standard
Rudy Gobert,MIN Timberwolves,43827586,35000000,36500000,38000000,0,0,115327586,goberru01,MIN,11.0,Standard
Anthony Davis,DAL Mavericks,43219440,54126450,58456566,62786682,0,0,155802456,davisan02,DAL,12.0,Standard
Luka Doncic,LAL Lakers,43031940,45999660,48967380,0,0,0,89031600,doncilu01,LAL,6.0,Max
Trae Young,ATL Hawks,43031940,45999660,48967380,0,0,0,89031600,youngtr01,ATL,6.0,Max
Fred Vanvleet,HOU Rockets,42846615,44886930,0,0,0,0,42846615,vanvlfr01,HOU,8.0,Max
Anthony Edwards,MIN Timberwolves,42176400,45550512,48924624,52298736,55672848,0,244623120,edwaran01,MIN,4.0,Max
Tyrese Haliburton,IND Pacers,42176400,45550512,48924624,52298736,55672848,0,244623120,halibty01,IND,4.0,Max
Lauri Markkanen,UTA Jazz,42176400,46394100,46113154,49824681,53536209,0,238044544,markkla01,UTA,7.0,Max
Pascal Siakam,IND Pacers,42176400,45550512,48924624,52298736,0,0,188950272,siakapa01,IND,8.0,Max
Kyrie Irving,DAL Mavericks,41000000,43962963,0,0,0,0,41000000,irvinky01,DAL,13.0,Standard
Domantas Sabonis,SAC Kings,40500000,43636000,46772000,49908000,0,0,180816000,sabondo01,SAC,8.0,Standard
Ben Simmons,BKN Nets,40011909,0,0,0,0,0,39256083,simmobe01,BKN,6.0,Standard
Zion Williamson,NOP Pelicans,36725670,39446090,42166510,44886930,0,0,163225200,willizi01,NOP,4.0,Max
Ja Morant,MEM Grizzlies,36725670,39446090,42166510,44886930,0,0,163225200,moranja01,MEM,5.0,Max
Darius Garland,CLE Cavaliers,36725670,39446090,42166510,44886930,0,0,163225200,garlada01,CLE,5.0,Max
Og Anunoby,NYC Knicks,36637932,39568966,42500000,45431034,48362068,0,164137932,anunoog01,NYC,7.0,Standard
Jamal Murray,DEN Nuggets,36016200,46394100,50105628,53817156,57528684,0,243861768,murraja01,DEN,7.0,Standard
Brandon Ingram,TOR Raptors,36016200,38095238,40000000,41904762,0,0,114111438,ingrabr01,TOR,8.0,Standard
Shai Gilgeous Alexander,OKC Thunder,35859950,38333050,40806150,0,0,0,114999150,gilgesh01,OKC,6.0,Standard
Michael Porter Jr,DEN Nuggets,35859950,38333050,40806150,0,0,0,86193000,portemi01,DEN,5.0,Max
Donovan Mitchell,CLE Cavaliers,35410310,46394100,50105628,53817156,0,0,131910038,mitchdo01,CLE,7.0,Standard
Tyrese Maxey,PHI 76ers,35147000,37958760,40770520,43582280,46394040,0,203852600,maxeyty01,PHI,4.0,Max
Lamelo Ball,CHA Hornets,35147000,37958760,40770520,43582280,46394040,0,203852600,ballla01,CHA,4.0,Max
Jayson Tatum,BOS Celtics,34848340,54126450,58456566,62786682,67116798,71446914,277334836,tatumja01,BOS,7.0,Standard
Bam Adebayo,MIA Heat,34848340,37096620,48713700,52610796,56507892,0,173269456,adebaba01,MIA,7.0,Standard
De Aaron Fox,SAS Spurs,34848340,37096620,0,0,0,0,71944960,foxde01,SAS,7.0,Standard
Desmond Bane,MEM Grizzlies,34005250,36725670,39446090,42166510,44886930,0,197230450,banede01,MEM,4.0,Standard
Deandre Ayton,POR Trail Blazers,34005126,35550814,0,0,0,0,69555940,aytonde01,POR,6.0,Standard
James Harden,LAC Clippers,33653846,36346154,0,0,0,0,33653846,hardeja01,LAC,15.0,Standard
Cj Mccollum,NOP Pelicans,33333333,30666666,0,0,0,0,63999999,mccolcj01,NOP,11.0,Standard
Julius Randle,MIN Timberwolves,33073920,30935520,0,0,0,0,33073920,randlju01,MIN,10.0,Standard
Immanuel Quickley,TOR Raptors,32500000,32500000,32500000,32500000,32500000,0,162500000,quickim01,TOR,4.0,Standard
Khris Middleton,WAS Wizards,31000000,33296296,0,0,0,0,31000000,middlkh01,WAS,12.0,Standard
Jrue Holiday,BOS Celtics,30000000,32400000,34800000,37200000,0,0,97200000,holidjr01,BOS,15.0,Standard
Isaiah Hartenstein,OKC Thunder,30000000,28500000,28500000,0,0,0,58500000,harteis01,OKC,6.0,Standard
Jerami Grant,POR Trail Blazers,29793104,32000001,34206898,36413790,0,0,96000003,grantje01,POR,10.0,Standard
Jordan Poole,WAS Wizards,29651786,31848215,34044642,0,0,0,95544643,poolejo01,WAS,5.0,Standard
Dejounte Murray,NOP Pelicans,29517135,31557103,33597072,31619506,0,0,94671310,murrade01,NOP,7.0,Standard
Devin Vassell,SAS Spurs,29347826,27000000,27000000,24652174,27000000,0,135000000,vassede01,SAS,4.0,Standard
Kristaps Porzingis,BOS Celtics,29268293,30731707,0,0,0,0,60000000,porzikr01,BOS,8.0,Standard
Tyler Herro,MIA Heat,29000000,31000000,33000000,0,0,0,93000000,herroty01,MIA,5.0,Standard
Nic Claxton,BKN Nets,27556817,25352272,23147727,20943184,0,0,97000000,claxtni01,BKN,5.0,Standard
Miles Bridges,CHA Hornets,27173913,25000000,22826087,0,0,0,75000000,bridgmi02,CHA,5.0,Standard
John Collins,UTA Jazz,26580000,26580000,0,0,0,0,26580000,collijo01,UTA,7.0,Standard
