player_id,nom,équipe,position,taille,poids,expérience (années),âge,équipe_abrégée
1630173,Precious Achiuwa,NYC Knicks,Pivot,203.0,110,4,26,NYC
203500,Steven Adams,HOU Rockets,Pivot,211.0,120,10,32,HOU
1628389,Bam Adebayo,MIA Heat,Pivot,206.0,115,7,28,MIA
1630534,Ochai Agbaji,TOR Raptors,Arrière,196.0,97,2,25,TOR
1630583,Santi Aldama,MEM Grizzlies,Ailier fort,213.0,97,3,24,MEM
1641725,Trey Alexander,DEN Nuggets,Arrière,193.0,83,0,22,DEN
1629638,Nickeil Alexander Walker,MIN Timberwolves,Arrière,196.0,92,5,27,MIN
1628960,Grayson Allen,PHX Suns,Arrière,193.0,89,6,30,PHX
1628386,Jarrett Allen,CLE Cavaliers,Pivot,206.0,110,7,27,CLE
1630631,Jose Alvarado,NOP Pelicans,Meneur,183.0,81,3,27,NOP
203937,Kyle Anderson,MIA Heat,Ailier fort,206.0,104,10,32,MIA
203507,Giannis Antetokounmpo,MIL Bucks,Ailier fort,211.0,110,11,31,MIL
1630175,Cole Anthony,MEM Grizzlies,Meneur,188.0,83,4,25,MEM
1628384,Og Anunoby,NYC Knicks,Ailier fort,201.0,108,7,28,NYC
1642379,Taran Armstrong,GSW Warriors,Arrière,196.0,86,0,23,GSW
1630166,Deni Avdija,POR Trail Blazers,Ailier,206.0,108,4,24,POR
1629028,Deandre Ayton,POR Trail Blazers,Pivot,213.0,114,6,27,POR
1628963,Marvin Bagley,MEM Grizzlies,Pivot,208.0,106,6,26,MEM
1631116,Patrick Baldwin Jr,LAC Clippers,Ailier,206.0,99,2,23,LAC
1630163,Lamelo Ball,CHA Hornets,Meneur,201.0,81,4,24,CHA
1628366,Lonzo Ball,CHI Bulls,Meneur,198.0,86,5,28,CHI
1631094,Paolo Banchero,ORL Magic,Ailier fort,208.0,113,2,23,ORL
1630217,Desmond Bane,ORL Magic,Arrière,196.0,97,4,27,ORL
1630625,Dalano Banton,POR Trail Blazers,Meneur,203.0,92,3,26,POR
1631230,Dominick Barlow,ATL Hawks,Ailier,203.0,97,2,22,ATL
203084,Harrison Barnes,SAS Spurs,Ailier fort,203.0,102,12,33,SAS
1630567,Scottie Barnes,TOR Raptors,Ailier fort,201.0,107,3,24,TOR
1629628,Rj Barrett,TOR Raptors,Ailier,198.0,97,5,25,TOR
1629646,Charles Bassey,SAS Spurs,Pivot,208.0,104,3,25,SAS
1641734,Emoni Bates,CLE Cavaliers,Ailier,203.0,91,1,21,CLE
1642419,Jamison Battle,TOR Raptors,Ailier,201.0,99,0,24,TOR
201587,Nicolas Batum,LAC Clippers,Ailier fort,203.0,104,16,37,LAC
1641878,Damion Baugh,CHA Hornets,Arrière,193.0,87,0,25,CHA
203078,Bradley Beal,PHX Suns,Arrière,193.0,93,12,32,PHX
1627736,Malik Beasley,DET Pistons,Arrière,193.0,84,8,29,DET
1630699,Marjon Beauchamp,NYC Knicks,Ailier,201.0,90,2,25,NYC
1641736,Reece Beekman,BKN Nets,Meneur,190.0,86,0,24,BKN
1630180,Saddiq Bey,WAS Wizards,Ailier fort,201.0,97,4,26,WAS
1629048,Goga Bitadze,ORL Magic,Pivot,208.0,113,5,26,ORL
202687,Bismack Biyombo,SAS Spurs,Pivot,203.0,115,13,33,SAS
1641710,Anthony Black,ORL Magic,Meneur,201.0,90,1,21,ORL
203992,Bogdan Bogdanovic,LAC Clippers,Arrière,196.0,102,7,33,LAC
1629626,Bol Bol,PHX Suns,Ailier fort,221.0,99,5,26,PHX
