Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year,PER,TS%,WS,WS/48,BPM,VORP,Player,Player-additional,Pos,PIS
23.0,35.0,9.9,1.5,3.6,0.424,1.3,3.0,0.419,0.3,0.6,0.45,0.1,0.1,1.0,0.2,1.1,1.3,0.6,0.2,0.0,0.3,0.9,4.4,2023.0,11.5,0.607,0.8,0.111,-0.9,0.1,Aj Green,greenaj01,Arrière,-0.17
24.0,56.0,11.0,1.5,3.5,0.423,1.2,3.0,0.408,0.3,0.5,0.519,0.3,0.3,0.895,0.2,1.0,1.1,0.5,0.2,0.1,0.2,0.9,4.5,2024.0,10.5,0.617,1.1,0.084,-2.1,0.0,Aj Green,greenaj01,Arrière,-0.27
25.0,73.0,22.7,2.5,5.8,0.429,2.1,5.0,0.427,0.4,0.8,0.443,0.3,0.4,0.815,0.2,2.1,2.4,1.5,0.5,0.1,0.5,2.2,7.4,2025.0,9.2,0.621,2.8,0.082,-2.2,-0.1,Aj Green,greenaj01,Arrière,-0.49
22.0,7.5,4.8,1.25,2.05,0.744,0.35,0.9,0.4,0.9,1.15,0.8055,0.05,0.3,0.25,0.2,1.0,1.2,0.05,0.05,0.0,0.1,0.85,2.95,2023.0,23.95,0.79,0.05,0.217,0.30000000000000027,-0.05,Aj Lawson,lawsoaj01,Arrière,1.0
23.0,42.0,7.4,1.3,2.9,0.446,0.3,1.2,0.26,1.0,1.7,0.577,0.4,0.5,0.652,0.3,0.9,1.2,0.5,0.2,0.1,0.3,0.5,3.2,2024.0,11.2,0.519,0.2,0.036,-4.6,-0.2,Aj Lawson,lawsoaj01,Arrière,-0.39
24.0,26.0,18.7,3.1,7.3,0.421,1.3,3.9,0.327,1.8,3.4,0.528,1.7,2.4,0.683,0.8,2.5,3.3,1.2,0.5,0.2,0.6,1.7,9.1,2025.0,12.7,0.542,0.8,0.081,-2.5,-0.1,Aj Lawson,lawsoaj01,Arrière,-0.22
19.0,72.0,19.5,3.4,7.4,0.465,1.4,3.6,0.39,2.0,3.8,0.536,0.6,0.7,0.894,0.5,1.6,2.1,1.0,0.6,0.2,0.6,1.2,8.9,2023.0,12.6,0.577,2.2,0.075,-0.8,0.4,Aj Griffin,griffaj01,Ailier,-0.11
20.0,20.0,8.6,0.9,3.1,0.29,0.5,2.0,0.256,0.4,1.2,0.348,0.1,0.1,1.0,0.1,0.8,0.9,0.3,0.1,0.1,0.4,0.3,2.4,2024.0,1.2,0.382,-0.4,-0.12,-9.6,-0.3,Aj Griffin,griffaj01,Ailier,-1.49
20.0,14.5,16.65,2.25,5.75,0.401,0.7,2.3,0.4235,1.5499999999999998,3.5,0.4215,0.75,0.9500000000000001,0.6930000000000001,0.2,1.5,1.7,2.05,0.3,0.05,1.0,1.15,6.0,2025.0,8.75,0.4905,-0.2,-0.028,-6.6000000000000005,-0.45,Aj Johnson,johnsaj01,Arrière,-0.93
27.0,68.0,30.2,6.3,11.2,0.564,0.9,2.5,0.347,5.4,8.6,0.628,2.8,4.6,0.608,2.4,4.1,6.6,3.0,0.8,0.8,1.4,1.9,16.3,2023.0,19.5,0.617,6.8,0.158,2.1,2.1,Aaron Gordon,gordoaa01,Ailier fort,1.14
28.0,73.0,31.5,5.5,9.8,0.556,0.5,1.9,0.29,4.9,7.9,0.619,2.4,3.7,0.658,2.4,4.1,6.5,3.5,0.8,0.6,1.4,1.9,13.9,2024.0,16.8,0.607,7.1,0.148,1.3,1.9,Aaron Gordon,gordoaa01,Ailier fort,0.85
29.0,51.0,28.4,5.2,9.7,0.531,1.5,3.4,0.436,3.7,6.4,0.582,2.8,3.5,0.81,1.6,3.3,4.8,3.2,0.5,0.3,1.4,1.6,14.7,2025.0,17.0,0.65,4.3,0.143,1.2,1.2,Aaron Gordon,gordoaa01,Ailier fort,0.67
26.0,63.0,13.4,1.5,3.5,0.418,0.6,1.4,0.409,0.9,2.1,0.424,0.4,0.5,0.844,0.4,0.8,1.2,1.4,0.6,0.2,0.6,1.3,3.9,2023.0,9.4,0.528,0.9,0.053,-2.0,0.0,Aaron Holiday,holidaa01,Meneur,-0.52
27.0,78.0,16.3,2.4,5.3,0.446,1.1,2.8,0.387,1.3,2.6,0.51,0.7,0.8,0.921,0.3,1.3,1.6,1.8,0.5,0.1,0.7,1.6,6.6,2024.0,11.5,0.578,2.5,0.094,-1.5,0.2,Aaron Holiday,holidaa01,Meneur,-0.12
28.0,62.0,12.8,1.9,4.3,0.437,1.2,2.9,0.398,0.7,1.4,0.517,0.5,0.7,0.829,0.2,1.0,1.3,1.3,0.3,0.2,0.6,1.0,5.5,2025.0,12.2,0.594,2.0,0.122,-0.2,0.3,Aaron Holiday,holidaa01,Meneur,-0.03
23.0,73.0,24.9,3.5,8.1,0.427,1.6,4.3,0.366,1.9,3.8,0.496,1.6,1.9,0.838,0.8,2.9,3.8,1.3,0.8,0.5,1.0,3.2,10.1,2023.0,10.5,0.566,2.0,0.052,-3.0,-0.4,Aaron Nesmith,nesmiaa01,Ailier,-0.56
24.0,72.0,27.7,4.4,8.8,0.496,1.9,4.6,0.419,2.4,4.2,0.581,1.5,1.9,0.781,0.9,2.9,3.8,1.5,0.9,0.7,0.9,3.3,12.2,2024.0,12.8,0.631,4.1,0.098,-0.5,0.8,Aaron Nesmith,nesmiaa01,Ailier,0.15
