player_id,nom,équipe,position,taille,poids,expérience (années),âge
1630173,Precious Achiuwa,Knicks,Forward,6-8,243,4,26
203500,Steven Adams,Rockets,Center,6-11,265,10,32
1628389,Bam Adebayo,Heat,Center-Forward,6-9,255,7,28
1630534,Ochai Agbaji,Raptors,Guard,6-5,215,2,25
1630583,Santi Aldama,Grizzlies,Forward-Center,7-0,215,3,24
1641725,Trey Alexander,Nuggets,Guard,6-4,185,0,22
1629638,Nickeil Alexander-Walker,Timberwolves,Guard,6-5,205,5,27
1628960,Grayson Allen,Suns,Guard,6-4,198,6,30
1628386,Jarrett Allen,Cavaliers,Center,6-9,243,7,27
1630631,Jose Alvarado,Pelicans,Guard,6-0,179,3,27
203937,Kyle Anderson,Heat,Forward-Guard,6-9,230,10,32
203507,Giannis Antetokounmpo,Bucks,Forward,6-11,243,11,31
1630175,Cole Anthony,Grizzlies,Guard,6-2,185,4,25
1628384,OG Anunoby,Knicks,Forward-Guard,6-7,240,7,28
1642379,Taran Armstrong,Warriors,Guard,6-5,190,0,23
1630166,Deni Avdija,Trail Blazers,Forward,6-9,240,4,24
1629028,Deandre Ayton,Trail Blazers,Center,7-0,252,6,27
1628963,Marvin Bagley III,Grizzlies,Forward,6-10,235,6,26
1631116,Patrick Baldwin Jr.,Clippers,Forward,6-9,220,2,23
1630163,LaMelo Ball,Hornets,Guard,6-7,180,4,24
1628366,Lonzo Ball,Bulls,Guard,6-6,190,5,28
1631094,Paolo Banchero,Magic,Forward,6-10,250,2,23
1630217,Desmond Bane,Magic,Guard,6-5,215,4,27
1630625,Dalano Banton,Trail Blazers,Forward,6-8,203,3,26
1631230,Dominick Barlow,Hawks,Forward,6-8,215,2,22
203084,Harrison Barnes,Spurs,Forward,6-8,225,12,33
1630567,Scottie Barnes,Raptors,Forward-Guard,6-7,237,3,24
1629628,RJ Barrett,Raptors,Forward-Guard,6-6,214,5,25
1629646,Charles Bassey,Spurs,Center-Forward,6-10,230,3,25
1641734,Emoni Bates,Cavaliers,Forward,6-8,202,1,21
1642419,Jamison Battle,Raptors,Forward,6-7,220,0,24
201587,Nicolas Batum,Clippers,Guard-Forward,6-8,230,16,37
1641878,Damion Baugh,Hornets,Guard,6-4,194,0,25
203078,Bradley Beal,Suns,Guard,6-4,207,12,32
1627736,Malik Beasley,Pistons,Guard,6-4,187,8,29
1630699,MarJon Beauchamp,Knicks,Forward,6-7,199,2,25
1641736,Reece Beekman,Nets,Guard,6-3,190,0,24
1630180,Saddiq Bey,Wizards,Guard-Forward,6-7,215,4,26
1629048,Goga Bitadze,Magic,Center-Forward,6-10,250,5,26
202687,Bismack Biyombo,Spurs,Center,6-8,255,13,33
1641710,Anthony Black,Magic,Guard,6-7,200,1,21
203992,Bogdan Bogdanović,Clippers,Guard,6-5,225,7,33
1629626,Bol Bol,Suns,Center-Forward,7-3,220,5,26
1641737,Adem Bona,76ers,Forward,6-10,235,0,22
1626164,Devin Booker,Suns,Guard,6-6,206,9,29
1630527,Brandon Boston,Pelicans,Guard,6-6,188,3,24
1628449,Chris Boucher,Raptors,Forward,6-9,200,7,32
1631123,Jamaree Bouyea,Bucks,Guard,6-2,180,2,26
1628396,Tony Bradley,Pacers,Center-Forward,6-11,248,6,27
1631103,Malaki Branham,Spurs,Forward,6-4,180,2,22
1631128,Christian Braun,Nuggets,Guard,6-6,220,2,24
1641779,Jalen Bridges,Suns,Forward,6-8,225,0,24
1628969,Mikal Bridges,Knicks,Guard-Forward,6-6,209,6,29
1628970,Miles Bridges,Hornets,Forward,6-7,225,5,27
1627763,Malcolm Brogdon,Wizards,Guard,6-4,229,8,33
1628415,Dillon Brooks,Rockets,Guard-Forward,6-6,225,7,29
1631232,Keion Brooks Jr.,Pelicans,Forward,6-7,210,0,25
1628971,Bruce Brown,Pelicans,Guard-Forward,6-4,202,6,29
1627759,Jaylen Brown,Celtics,Guard-Forward,6-6,223,8,29
1641738,Kobe Brown,Clippers,Forward,6-7,250,1,25
1628973,Jalen Brunson,Knicks,Guard,6-2,190,6,29
1628418,Thomas Bryant,Pacers,Center-Forward,6-10,248,7,28
1641723,Kobe Bufkin,Hawks,Guard,6-4,195,1,22
202692,Alec Burks,Heat,Guard,6-5,214,13,34
1630215,Jared Butler,76ers,Guard,6-3,193,3,25
202710,Jimmy Butler III,Warriors,Forward,6-7,230,13,36
1641824,Matas Buzelis,Bulls,Forward,6-10,209,0,21
1631288,Jamal Cain,Pelicans,Forward,6-6,191,2,26
203484,Kentavious Caldwell-Pope,Grizzlies,Guard,6-5,204,11,32
1641739,Toumani Camara,Trail Blazers,Forward,6-7,229,1,25
203991,Clint Capela,Hawks,Center,6-10,256,10,31
1642382,Branden Carlson,Thunder,Center,7-0,220,0,26
1642267,Bub Carrington,Wizards,Guard,6-4,190,0,20
1642269,Devin Carter,Kings,Guard,6-2,195,0,23
1628975,Jevon Carter,Bulls,Guard,6-1,200,6,30
1628976,Wendell Carter Jr.,Magic,Center-Forward,6-10,270,6,26
1627936,Alex Caruso,Thunder,Guard,6-5,186,7,31
1642264,Stephon Castle,Spurs,Guard,6-6,215,0,21
1630658,Colin Castleton,Raptors,Center,6-10,250,1,25
1630577,Julian Champagnie,Spurs,Forward,6-7,217,2,24
1630551,Justin Champagnie,Wizards,Guard-Forward,6-6,206,3,24
1642279,Ulrich Chomche,Raptors,Center,6-11,235,0,20
1642353,Cam Christie,Clippers,Guard,6-6,190,0,20
1631108,Max Christie,Mavericks,Guard,6-5,190,2,22
1630528,Josh Christopher,Heat,Guard,6-4,215,2,24
1631321,Sidy Cissoko,Trail Blazers,Guard,6-6,200,1,21
1641740,Jaylen Clark,Timberwolves,Guard,6-4,205,0,24
1629634,Brandon Clarke,Grizzlies,Forward,6-8,215,5,29
203903,Jordan Clarkson,Jazz,Guard,6-3,194,10,33
1629651,Nic Claxton,Nets,Center,6-11,215,5,26
1642270,Donovan Clingan,Trail Blazers,Center,7-2,280,0,21
1641730,Noah Clowney,Nets,Forward-Center,6-9,210,1,21
1629599,Amir Coffey,Clippers,Guard-Forward,6-7,210,5,28
1642268,Isaiah Collier,Jazz,Guard,6-3,210,0,21
1628381,John Collins,Jazz,Forward-Center,6-9,226,7,28
1628380,Zach Collins,Bulls,Forward-Center,6-11,250,6,28
201144,Mike Conley,Timberwolves,Guard,6-0,175,17,38
